"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","pixelogik/ColorCube",1,1,86,83,1.03614,"IssueCommentEvent",86,83,1.03614,0
"2","segmentio/ware",2,2,22,22,1,"ForkEvent",22,22,1,0
"3","venshine/wechat-lightapp",2,2,163,128,1.27344,"IssuesEvent",163,128,1.27344,0
"4","primaryobjects/AI-Programmer",4,1,144,115,1.25217,"CreateEvent",144,115,1.25217,0
"5","pg-redis-fdw/redis_fdw",4,4,40,38,1.05263,"ForkEvent",40,38,1.05263,0
"6","samccone/ivy",5,4,99,66,1.5,"IssuesEvent",99,66,1.5,0
"7","lai32290/TableHeadFixer",9,6,60,43,1.39535,"IssuesEvent",60,43,1.39535,0
"8","brainfoolong/cryptojs-aes-php",13,13,53,39,1.35897,"ForkEvent",53,39,1.35897,0
"9","bacher09/pwgen-for-bios",15,8,618,102,6.05882,"IssuesEvent",618,102,6.05882,0
"10","allustin/awesome-1c",18,4,296,36,8.22222,"PullRequestEvent",296,36,8.22222,0
"11","pusher-community/react-realtime-chat",21,21,29,27,1.07407,"WatchEvent",29,27,1.07407,0
"12","lai32290/TableHeadFixer",24,24,60,43,1.39535,"WatchEvent",60,43,1.39535,0
"13","amaas/stanford-ctc",27,27,78,73,1.06849,"ForkEvent",78,73,1.06849,0
"14","usc-isi-i2/Web-Karma",63,3,343,76,4.51316,"PushEvent",343,76,4.51316,0
"15","pmatiello/python-graph",76,76,90,89,1.01124,"WatchEvent",90,89,1.01124,0
"16","gkoberger/stacksort",88,88,97,93,1.04301,"WatchEvent",97,93,1.04301,0
"17","usc-isi-i2/Web-Karma",108,19,343,76,4.51316,"IssueCommentEvent",343,76,4.51316,0
"18","ArduPilot/ardupilot_wiki",370,11,1617,237,6.82278,"PushEvent",1617,237,6.82278,0
"19","apple/example-package-deckofplayingcards",16,13,48,24,2,"ForkEvent",48,24,2,0
"20","xiaoshangmin/test",8,8,98,43,2.27907,"ForkEvent",98,43,2.27907,0
"21","lai32290/TableHeadFixer",11,11,60,43,1.39535,"ForkEvent",60,43,1.39535,0
"22","aymerick/raymond",9,1,84,48,1.75,"PushEvent",84,48,1.75,0
"23","evilsocket/bettercap-proxy-modules",6,1,104,67,1.55224,"PushEvent",104,67,1.55224,0
"24","allustin/awesome-1c",207,2,296,36,8.22222,"PushEvent",296,36,8.22222,0
