"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"400","bedezign/yii2-audit",2,1,162,37,4.37838,"ReleaseEvent",162,37,4.37838,0
"401","kylemanna/docker-bitcoind",22,4,142,40,3.55,"PullRequestEvent",142,40,3.55,0
"402","emc-advanced-dev/unik",205,28,1631,772,2.11269,"IssueCommentEvent",1631,772,2.11269,0
"403","bernardolins/fake_server",22,5,127,29,4.37931,"IssueCommentEvent",127,29,4.37931,0
"404","mcdonamp/flaming-specs",4,4,24,24,1,"ForkEvent",24,24,1,0
"405","koajs/static-cache",3,3,41,34,1.20588,"ForkEvent",41,34,1.20588,0
"406","kylemanna/docker-bitcoind",19,18,142,40,3.55,"ForkEvent",142,40,3.55,0
"407","python-excel/xlutils",7,7,60,37,1.62162,"ForkEvent",60,37,1.62162,0
"408","Mte90/GH-License",24,1,147,24,6.125,"PushEvent",147,24,6.125,0
"409","prime31/CharacterController2D",1,1,131,84,1.55952,"PushEvent",131,84,1.55952,0
"410","maximkoretskiy/postcss-initial",7,1,62,43,1.44186,"PushEvent",62,43,1.44186,0
"411","varnishcache/varnish-cache",268,69,2748,479,5.73695,"IssuesEvent",2748,479,5.73695,0
"412","mholgatem/ThermOS",8,4,106,47,2.25532,"IssuesEvent",106,47,2.25532,0
"413","wolkykim/qlibc",4,4,99,74,1.33784,"IssuesEvent",99,74,1.33784,0
"414","iZettle/sdk-ios",22,5,252,55,4.58182,"PullRequestEvent",252,55,4.58182,0
"415","andyet/SimpleWebRTC",2,2,950,501,1.89621,"CommitCommentEvent",950,501,1.89621,0
"416","ledger/ledger",1,1,449,300,1.49667,"CommitCommentEvent",449,300,1.49667,0
"417","mxcl/OMGHTTPURLRQ",4,1,117,77,1.51948,"CreateEvent",117,77,1.51948,0
"418","mxcl/OMGHTTPURLRQ",5,4,117,77,1.51948,"IssueCommentEvent",117,77,1.51948,0
"419","noidontdig/gitdown",5,4,700,687,1.01892,"IssuesEvent",700,687,1.01892,0
"420","z00k/vkbotphp",11,10,25,22,1.13636,"ForkEvent",25,22,1.13636,0
"421","jlafon/PynamoDB",13,1,867,169,5.13018,"DeleteEvent",867,169,5.13018,0
"422","oskarpearson/mmeowlink",14,14,227,53,4.28302,"WatchEvent",227,53,4.28302,0
"423","andyet/SimpleWebRTC",15,6,950,501,1.89621,"PullRequestEvent",950,501,1.89621,0
"424","durandalproject/aurelia",17,17,25,21,1.19048,"WatchEvent",25,21,1.19048,0
"425","iZettle/sdk-ios",21,2,252,55,4.58182,"CreateEvent",252,55,4.58182,0
"426","emc-advanced-dev/unik",27,1,1631,772,2.11269,"DeleteEvent",1631,772,2.11269,0
"427","ledger/ledger",33,33,449,300,1.49667,"ForkEvent",449,300,1.49667,0
"428","maximkoretskiy/postcss-initial",37,37,62,43,1.44186,"WatchEvent",62,43,1.44186,0
"429","ipfspics/ipfspics-server",97,95,206,130,1.58462,"WatchEvent",206,130,1.58462,0
"430","wssgcg1213/koa2-react-isomorphic-boilerplate",14,14,917,85,10.78824,"ForkEvent",917,85,10.78824,0
"431","bluerobotics/ardusub",12,12,581,35,16.6,"ForkEvent",581,35,16.6,0
"432","baoyongzhang/ApkChannelBuilder",1,1,225,204,1.10294,"PushEvent",225,204,1.10294,0
"433","wssgcg1213/koa2-react-isomorphic-boilerplate",96,1,917,85,10.78824,"PushEvent",917,85,10.78824,0
"434","durandalproject/aurelia",2,1,25,21,1.19048,"PushEvent",25,21,1.19048,0
"435","jcouyang/clojure-flavored-javascript",22,22,39,26,1.5,"WatchEvent",39,26,1.5,0
"436","darkoperator/Posh-SecMod",26,26,37,35,1.05714,"WatchEvent",37,35,1.05714,0
"437","kylemanna/docker-bitcoind",1,1,142,40,3.55,"CreateEvent",142,40,3.55,0
"438","julianlam/nodebb-plugin-mentions",1,1,79,23,3.43478,"CreateEvent",79,23,3.43478,0
"439","engram-design/Comments",5,1,183,51,3.58824,"CreateEvent",183,51,3.58824,0
"440","mysensors/MySensors",5,3,2580,234,11.02564,"DeleteEvent",2580,234,11.02564,0
"441","droolsjbpm/guvnor",18,2,799,63,12.68254,"DeleteEvent",799,63,12.68254,0
"442","EDDiscovery/EDDiscovery",63,3,2650,104,25.48077,"DeleteEvent",2650,104,25.48077,0
"443","sarbian/ModuleManager",16,7,80,35,2.28571,"IssuesEvent",80,35,2.28571,0
"444","MozillaFoundation/plan",66,14,444,41,10.82927,"IssuesEvent",444,41,10.82927,0
"445","GravityPDF/gravity-pdf",1,1,798,25,31.92,"MemberEvent",798,25,31.92,0
"446","ledger/ledger",52,19,449,300,1.49667,"PullRequestEvent",449,300,1.49667,0
"447","iatek/jquery-socialist",1,1,28,27,1.03704,"PullRequestEvent",28,27,1.03704,0
"448","ponty/pyscreenshot",13,5,58,43,1.34884,"IssueCommentEvent",58,43,1.34884,0
"449","teamreflex/DiscordPHP",2,2,578,135,4.28148,"CommitCommentEvent",578,135,4.28148,0
"450","sofish/express-guide",9,9,27,26,1.03846,"ForkEvent",27,26,1.03846,0
"451","ledger/ledger",40,4,449,300,1.49667,"PushEvent",449,300,1.49667,0
"452","nicolewhite/algebra.js",52,52,132,64,2.0625,"WatchEvent",132,64,2.0625,0
"453","getk2/k2",8,7,255,50,5.1,"WatchEvent",255,50,5.1,0
"454","droolsjbpm/guvnor",7,7,799,63,12.68254,"WatchEvent",799,63,12.68254,0
"455","cjacobwade/HelpfulScripts",227,226,288,249,1.15663,"WatchEvent",288,249,1.15663,0
"456","teamreflex/DiscordPHP",4,2,578,135,4.28148,"DeleteEvent",578,135,4.28148,0
"457","Wurst-Imperium/Wurst-Client-for-MC-1.9.X",1,1,167,58,2.87931,"DeleteEvent",167,58,2.87931,0
"458","getk2/k2",45,20,255,50,5.1,"IssuesEvent",255,50,5.1,0
"459","clab/stack-lstm-ner",2,2,181,95,1.90526,"PullRequestEvent",181,95,1.90526,0
"460","jlafon/PynamoDB",97,17,867,169,5.13018,"PullRequestEvent",867,169,5.13018,0
"461","oskarpearson/mmeowlink",19,6,227,53,4.28302,"PullRequestEvent",227,53,4.28302,0
"462","instacart/truetime-android",17,6,586,420,1.39524,"PullRequestEvent",586,420,1.39524,0
"463","mysensors/MySensors",1799,64,2580,234,11.02564,"IssueCommentEvent",2580,234,11.02564,0
"464","Xyl2k/TSA-Travel-Sentry-master-keys",132,130,622,576,1.07986,"ForkEvent",622,576,1.07986,0
"465","jackdempsey/acts_as_commentable",7,7,40,35,1.14286,"ForkEvent",40,35,1.14286,0
"466","pudo/dataset",35,34,491,399,1.23058,"ForkEvent",491,399,1.23058,0
"467","cjacobwade/HelpfulScripts",26,1,288,249,1.15663,"PushEvent",288,249,1.15663,0
"468","EDDiscovery/EDDiscovery",38,37,2650,104,25.48077,"WatchEvent",2650,104,25.48077,0
"469","circonus-labs/reconnoiter",32,5,602,26,23.15385,"CreateEvent",602,26,23.15385,0
"470","gmarm/BetterSegmentedControl",9,1,461,280,1.64643,"CreateEvent",461,280,1.64643,0
"471","Microsoft/TSJS-lib-generator",11,2,456,58,7.86207,"DeleteEvent",456,58,7.86207,0
"472","bedezign/yii2-audit",28,11,162,37,4.37838,"IssuesEvent",162,37,4.37838,0
"473","austinlyons/dcjs-leaflet-untappd",1,1,47,42,1.11905,"IssuesEvent",47,42,1.11905,0
"474","bogde/HX711",27,15,215,94,2.28723,"IssuesEvent",215,94,2.28723,0
"475","engram-design/Comments",5,1,183,51,3.58824,"ReleaseEvent",183,51,3.58824,0
"476","toleda/audio_CloverALC",3,3,296,187,1.58289,"PullRequestEvent",296,187,1.58289,0
"477","DockYard/inquisitor",8,5,85,41,2.07317,"PullRequestEvent",85,41,2.07317,0
"478","jackdempsey/acts_as_commentable",3,2,40,35,1.14286,"IssueCommentEvent",40,35,1.14286,0
"479","wix/detox",12,2,526,91,5.78022,"PullRequestReviewCommentEvent",526,91,5.78022,0
"480","cakephp/acl",1,1,83,36,2.30556,"PullRequestReviewCommentEvent",83,36,2.30556,0
"481","datejs/Datejs",47,47,254,236,1.07627,"ForkEvent",254,236,1.07627,0
"482","EDDiscovery/EDDiscovery",18,16,2650,104,25.48077,"ForkEvent",2650,104,25.48077,0
"483","esnme/ultrajson",211,208,312,265,1.17736,"WatchEvent",312,265,1.17736,0
"484","samlaudev/iOS-Best-Practices",40,40,52,47,1.10638,"WatchEvent",52,47,1.10638,0
"485","nemequ/munit",2,1,54,23,2.34783,"CreateEvent",54,23,2.34783,0
"486","ytiurin/hyphen",4,3,99,39,2.53846,"IssuesEvent",99,39,2.53846,0
"487","nicolewhite/algebra.js",5,2,132,64,2.0625,"PullRequestEvent",132,64,2.0625,0
"488","baoyongzhang/ApkChannelBuilder",9,4,225,204,1.10294,"IssueCommentEvent",225,204,1.10294,0
"489","iZettle/sdk-ios",99,31,252,55,4.58182,"IssueCommentEvent",252,55,4.58182,0
"490","Wurst-Imperium/Wurst-Client-for-MC-1.9.X",5,3,167,58,2.87931,"PullRequestReviewCommentEvent",167,58,2.87931,0
"491","linkedin/camus",31,31,79,73,1.08219,"ForkEvent",79,73,1.08219,0
"492","teamreflex/DiscordPHP",62,59,578,135,4.28148,"WatchEvent",578,135,4.28148,0
"493","GravityPDF/gravity-pdf",92,1,798,25,31.92,"DeleteEvent",798,25,31.92,0
