"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","charliecalvert/JsObjects",4,4,142,6,23.66667,"ForkEvent",142,6,23.66667,0.2
"2","SriramKeerthi/swagger-jersey2-jetty",2,2,6,6,1,"WatchEvent",6,6,1,0.2
"3","tguillem/android-libav",4,4,5,4,1.25,"WatchEvent",5,4,1.25,0.3
"4","Mean-Street/2A_ProjetBD",4,2,130,5,26,"CreateEvent",130,5,26,0.2
"5","windtoday/windtoday-search-backend",7,1,70,3,23.33333,"CreateEvent",70,3,23.33333,0.3
"6","edx/edx-submissions",4,1,79,8,9.875,"ReleaseEvent",79,8,9.875,0.1
"7","uppsala-university/infoglue",41,3,172,3,57.33333,"PullRequestEvent",172,3,57.33333,0.3
"8","jrmerz/poly-next",4,4,4,4,1,"WatchEvent",4,4,1,0.3
"9","jeongQ/ener",2,1,14,3,4.66667,"MemberEvent",14,3,4.66667,0.3
"10","qpliu/qrencode-go",2,2,13,11,1.18182,"PullRequestEvent",13,11,1.18182,0.1
"11","sealink/rails_core_extensions",52,7,142,7,20.28571,"IssueCommentEvent",142,7,20.28571,0.1
"12","amaljose96/ca_tathva16",2,2,6,3,2,"CommitCommentEvent",6,3,2,0.3
"13","amaljose96/ca_tathva16",1,1,6,3,2,"PushEvent",6,3,2,0.3
"14","evanrinehart/lowgl",9,1,15,4,3.75,"PushEvent",15,4,3.75,0.3
"15","ArrogantBread/Trainingserver.Altis",101,3,110,3,36.66667,"PushEvent",110,3,36.66667,0.3
"16","GNOME/sysprof",2,2,155,4,38.75,"WatchEvent",155,4,38.75,0.3
"17","marvindanig/flippy.JS",4,2,93,3,31,"PullRequestEvent",93,3,31,0.3
"18","iheartradio/happy-path",10,2,28,5,5.6,"PullRequestEvent",28,5,5.6,0.2
"19","Vebto/BeMusic-Providers",1,1,20,7,2.85714,"ForkEvent",20,7,2.85714,0.1
"20","evanrinehart/lowgl",2,2,15,4,3.75,"WatchEvent",15,4,3.75,0.3
"21","lugavin/ssm",2,2,50,4,12.5,"WatchEvent",50,4,12.5,0.3
"22","marvindanig/flippy.JS",1,1,93,3,31,"GollumEvent",93,3,31,0.3
"23","iAmPlus/timestring",5,2,27,4,6.75,"MemberEvent",27,4,6.75,0.3
"24","hughsk/path-sort",1,1,8,3,2.66667,"PullRequestEvent",8,3,2.66667,0.3
"25","windtoday/windtoday-search-backend",2,1,70,3,23.33333,"IssueCommentEvent",70,3,23.33333,0.3
"26","dounine/ask",2,2,15,3,5,"ForkEvent",15,3,5,0.3
"27","lealone/Lealone.x",4,4,16,16,1,"ForkEvent",16,16,1,0.1
"28","GNOME/sysprof",143,1,155,4,38.75,"PushEvent",155,4,38.75,0.3
"29","marvindanig/flippy.JS",1,1,93,3,31,"CommitCommentEvent",93,3,31,0.3
"30","TeamSecurePAD/ProjectPad",16,3,16,3,5.33333,"PushEvent",16,3,5.33333,0.3
"31","Terasology/WoodAndStone",10,4,36,5,7.2,"PushEvent",36,5,7.2,0.2
"32","edx/edx-submissions",9,2,79,8,9.875,"CreateEvent",79,8,9.875,0.1
