"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","haiwen/seafile-server-installer-cn",1,1,90,32,2.8125,"IssuesEvent",90,32,2.8125,0
"2","ledger/ledger",1,1,449,300,1.49667,"CommitCommentEvent",449,300,1.49667,0
"3","PagerDuty/go-pagerduty",1,1,268,53,5.0566,"PullRequestReviewCommentEvent",268,53,5.0566,0
"4","joshuaslate/saas-tutorial",2,2,42,41,1.02439,"CommitCommentEvent",42,41,1.02439,0
"5","evercode1/view-maker",2,1,78,63,1.2381,"PushEvent",78,63,1.2381,0
"6","NuxiNL/cloudlibc",8,1,330,24,13.75,"DeleteEvent",330,24,13.75,0
"7","cydparser/spacemacs-intero",8,4,87,46,1.8913,"IssuesEvent",87,46,1.8913,0
"8","CANopenNode/CANopenSocket",10,10,33,20,1.65,"WatchEvent",33,20,1.65,0
"9","vitorabner/decoraki",20,1,219,60,3.65,"CreateEvent",219,60,3.65,0
"10","npm/nopt",30,29,107,42,2.54762,"WatchEvent",107,42,2.54762,0
"11","ledger/ledger",33,33,449,300,1.49667,"ForkEvent",449,300,1.49667,0
"12","sup-heliotrope/sup",50,50,90,74,1.21622,"WatchEvent",90,74,1.21622,0
"13","arun-gupta/docker-images",11,1,99,72,1.375,"PushEvent",99,72,1.375,0
"14","jessesquires/DefaultStringConvertible",14,14,116,20,5.8,"WatchEvent",116,20,5.8,0
"15","jamesmontemagno/Hanselman.Forms",131,130,212,182,1.16484,"WatchEvent",212,182,1.16484,0
"16","haiwen/seafile-server-installer-cn",6,2,90,32,2.8125,"CreateEvent",90,32,2.8125,0
"17","CANopenNode/CANopenSocket",1,1,33,20,1.65,"CreateEvent",33,20,1.65,0
"18","sup-heliotrope/sup",1,1,90,74,1.21622,"CreateEvent",90,74,1.21622,0
"19","codekirei/node-multispinner",2,1,33,24,1.375,"IssuesEvent",33,24,1.375,0
"20","andrewbanchich/forty-jekyll-theme",2,2,102,76,1.34211,"IssuesEvent",102,76,1.34211,0
"21","Hyrules/WinHue3",12,1,600,56,10.71429,"ReleaseEvent",600,56,10.71429,0
"22","awslabs/apn-blog",10,4,78,51,1.52941,"PullRequestEvent",78,51,1.52941,0
"23","soruly/whatanime.ga",2,2,409,322,1.27019,"PullRequestEvent",409,322,1.27019,0
"24","BVLC/caffe",16,13,12799,8151,1.57024,"CommitCommentEvent",12799,8151,1.57024,0
"25","arun-gupta/docker-images",2,2,99,72,1.375,"IssuesEvent",99,72,1.375,0
"26","CarlRaymond/jquery.cardswipe",2,1,49,23,2.13043,"CreateEvent",49,23,2.13043,0
"27","eyaler/word2vec-slim",2,1,60,49,1.22449,"IssuesEvent",60,49,1.22449,0
"28","philcali/cronish",3,3,39,24,1.625,"PullRequestEvent",39,24,1.625,0
"29","thoughtbot/cities",4,3,55,22,2.5,"IssueCommentEvent",55,22,2.5,0
"30","Barath-Kannan/SignalsAndSlots",6,1,104,29,3.58621,"CreateEvent",104,29,3.58621,0
"31","CarlRaymond/jquery.cardswipe",7,1,49,23,2.13043,"PushEvent",49,23,2.13043,0
"32","Shopify/ejson",9,4,169,109,1.55046,"CreateEvent",169,109,1.55046,0
"33","mattbrictson/airbrussh",13,8,131,48,2.72917,"IssuesEvent",131,48,2.72917,0
"34","learn-co-students/tic-tac-toe-rb-cb-000",18,18,41,21,1.95238,"PullRequestEvent",41,21,1.95238,0
"35","elastic/elasticsearch-js",26,10,852,525,1.62286,"PullRequestEvent",852,525,1.62286,0
"36","linuxserver/docker-musicbrainz",30,6,179,27,6.62963,"PullRequestEvent",179,27,6.62963,0
"37","zachscrivena/simple-resume-cv",39,38,84,59,1.42373,"WatchEvent",84,59,1.42373,0
"38","ledger/ledger",43,14,449,300,1.49667,"IssueCommentEvent",449,300,1.49667,0
"39","soruly/whatanime.ga",48,1,409,322,1.27019,"PushEvent",409,322,1.27019,0
"40","lintweaker/xmos-native-dsd",5,3,144,26,5.53846,"ForkEvent",144,26,5.53846,0
"41","mayank-patel/react-native-floating-labels",6,6,82,28,2.92857,"ForkEvent",82,28,2.92857,0
"42","nishanths/zoom.js",24,1,124,95,1.30526,"PushEvent",124,95,1.30526,0
"43","jamesmontemagno/Hanselman.Forms",4,2,212,182,1.16484,"PushEvent",212,182,1.16484,0
"44","cs109Alabs/project_resources",2,2,100,73,1.36986,"CreateEvent",100,73,1.36986,0
"45","Hyrules/WinHue3",4,1,600,56,10.71429,"DeleteEvent",600,56,10.71429,0
"46","Hyrules/WinHue3",13,1,600,56,10.71429,"GollumEvent",600,56,10.71429,0
"47","cydparser/spacemacs-intero",6,4,87,46,1.8913,"PullRequestEvent",87,46,1.8913,0
"48","haiwen/seafile-server-installer-cn",1,1,90,32,2.8125,"IssueCommentEvent",90,32,2.8125,0
