"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","Drazen420/Ajedrez2016",1,1,4,2,2,"CommitCommentEvent",4,2,2,0.5
"2","sarthakalang/pitch-perfect",2,1,6,1,6,"CreateEvent",6,1,6,1
"3","ReyAnthony/68kLisp-compiler",3,1,3,1,3,"CreateEvent",3,1,3,1
"4","khanhnth/htmldemo",2,1,4,1,4,"CreateEvent",4,1,4,1
"5","geekman9097/Beyond-Resistance",3,1,7,1,7,"CreateEvent",7,1,7,1
"6","vadikgreb/vgv",1,1,1,1,1,"CreateEvent",1,1,1,1
"7","xiewenda/demos",2,1,2,1,2,"CreateEvent",2,1,2,1
"8","evrom/wtforms-nocaptcha",3,2,10,2,5,"IssuesEvent",10,2,5,0.5
"9","izzy-izumi/abrhilsoft",1,1,5,2,2.5,"PushEvent",5,2,2.5,0.5
"10","ChmHsm/Angular2Basics",4,1,8,1,8,"CreateEvent",8,1,8,1
"11","swilson637/Powershell",1,1,1,1,1,"CreateEvent",1,1,1,1
"12","thecarsgone/javascript-objects-lab-wdf-000",1,1,1,1,1,"PushEvent",1,1,1,1
"13","winstonww/open_facebook",2,1,2,1,2,"CreateEvent",2,1,2,1
"14","rheemansum/LearnYouNode",2,1,2,1,2,"CreateEvent",2,1,2,1
"15","zygimantasbataitis/vladasbataitis",2,1,3,1,3,"CreateEvent",3,1,3,1
"16","joelparkerhenderson/maturtity_models",2,1,5,1,5,"CreateEvent",5,1,5,1
"17","atomist-web-test-staging/project_3nulyl5hiqrnu",1,1,3,1,3,"PushEvent",3,1,3,1
"18","apsvvfb/preprocessing",2,1,4,1,4,"CreateEvent",4,1,4,1
"19","khanhnth/htmldemo",2,1,4,1,4,"PushEvent",4,1,4,1
"20","Jeff-Lewis/dotfiles",1,1,1,1,1,"PushEvent",1,1,1,1
"21","Markseye/javascript-arrays-bootcamp-prep-000",1,1,1,1,1,"PushEvent",1,1,1,1
"22","SunGingy/oss",2,1,3,1,3,"CreateEvent",3,1,3,1
"23","anyhues/paartherapie",1,1,13,1,13,"CreateEvent",13,1,13,1
"24","sarthakalang/pitch-perfect",4,1,6,1,6,"PushEvent",6,1,6,1
"25","maxoon50/siteGreg",2,1,3,1,3,"CreateEvent",3,1,3,1
"26","girasquid/resque",1,1,2,1,2,"PushEvent",2,1,2,1
"27","ggoldens/annotation-acc-pack",1,1,24,1,24,"DeleteEvent",24,1,24,1
"28","DanielMichelson/oss_weather_radar_vm",6,1,6,1,6,"PushEvent",6,1,6,1
"29","leon1710/github_test",2,1,2,1,2,"CreateEvent",2,1,2,1
"30","apsvvfb/preprocessing",2,1,4,1,4,"PushEvent",4,1,4,1
"31","Pakillo/rmdTemplates",1,1,5,2,2.5,"WatchEvent",5,2,2.5,0.5
"32","Pakillo/rmdTemplates",2,1,5,2,2.5,"IssuesEvent",5,2,2.5,0.5
"33","evrom/wtforms-nocaptcha",1,1,10,2,5,"ForkEvent",10,2,5,0.5
"34","Jerek0/halloween-unity",1,1,1,1,1,"PushEvent",1,1,1,1
"35","NSCabezon/UIAlignedButton",2,2,2,2,1,"WatchEvent",2,2,1,0.5
"36","jtphelan/foundation",1,1,1,1,1,"PushEvent",1,1,1,1
"37","firelab/met_utils",1,1,1,1,1,"PushEvent",1,1,1,1
"38","IagoAbal/iagoabal.github.io",1,1,1,1,1,"PublicEvent",1,1,1,1
"39","JackXuyi/jackxuyi.github.io",38,1,50,1,50,"PushEvent",50,1,50,1
"40","hmhopkins27/Movies",1,1,3,1,3,"PushEvent",3,1,3,1
"41","seandekkers/https-sean-dekkers.squarespace.com-template",6,1,8,1,8,"PushEvent",8,1,8,1
"42","BabyPuncher/Win64GameLauncher",2,1,2,1,2,"CreateEvent",2,1,2,1
"43","dmoarfk/Zura-Janai",1,1,1,1,1,"CreateEvent",1,1,1,1
"44","atomist-test/project-aclvp82gnee0x",1,1,5,2,2.5,"MemberEvent",5,2,2.5,0.5
"45","TAMU-CPT/spanins-frontend",5,2,5,2,2.5,"PushEvent",5,2,2.5,0.5
"46","code-disaster/bgfx",2,1,3,1,3,"PushEvent",3,1,3,1
"47","joelparkerhenderson/maturtity_models",2,1,5,1,5,"PushEvent",5,1,5,1
"48","joelparkerhenderson/maturtity_models",1,1,5,1,5,"WatchEvent",5,1,5,1
"49","jenics/adventure",1,1,1,1,1,"WatchEvent",1,1,1,1
"50","ggoldens/annotation-acc-pack",3,1,24,1,24,"CreateEvent",24,1,24,1
"51","xLillian0507/hello-world1",2,1,8,1,8,"PullRequestEvent",8,1,8,1
"52","ZHSY/SYWouldHandleHelp",3,1,5,1,5,"PushEvent",5,1,5,1
"53","esaezgil/pythonBestPractices",1,1,44,2,22,"WatchEvent",44,2,22,0.5
"54","hyrlamiranda/100-days-of-code",1,1,1,1,1,"WatchEvent",1,1,1,1
"55","houlijie/personal-blog-with-laravel",2,1,2,1,2,"CreateEvent",2,1,2,1
"56","JacobNorlin/DataMiningLab2",2,1,10,1,10,"CreateEvent",10,1,10,1
"57","SoFeelLove/Web",1,1,3,1,3,"PushEvent",3,1,3,1
"58","sampowers/homebrew-core",1,1,1,1,1,"PushEvent",1,1,1,1
"59","amsichani/Digital-Scholarly-EditionsGR-workshop",110,1,110,1,110,"PushEvent",110,1,110,1
"60","ggoldens/annotation-acc-pack",20,1,24,1,24,"PushEvent",24,1,24,1
"61","leizheng8686/Algorithms",2,1,2,1,2,"CreateEvent",2,1,2,1
"62","isisliu/github-service-cebb8379-e44b-40bb-9ad6-1a29c5b29de3",2,1,2,1,2,"CreateEvent",2,1,2,1
"63","JamesPatel37/RescueRalphie",2,1,3,1,3,"CreateEvent",3,1,3,1
"64","bundyfx/bundyfx-blog",1,1,66,2,33,"MemberEvent",66,2,33,0.5
"65","shuaizhang15/hosts",1,1,4,1,4,"WatchEvent",4,1,4,1
"66","atomist-test/project-aclvp82gnee0x",2,1,5,2,2.5,"PushEvent",5,2,2.5,0.5
"67","geekman9097/Beyond-Resistance",4,1,7,1,7,"PushEvent",7,1,7,1
"68","cvicentiu/TableViewer",7,1,9,1,9,"PushEvent",9,1,9,1
"69","TheBigJ77/Assignment01-2",2,1,2,1,2,"PushEvent",2,1,2,1
"70","adityaatluri/shoc",1,1,1,1,1,"PushEvent",1,1,1,1
"71","Varadbal/Ruby-project",2,1,4,1,4,"CreateEvent",4,1,4,1
"72","K47S/UA-.NETStandardLibrary",2,1,2,1,2,"PushEvent",2,1,2,1
"73","DFeight/Hello-World",1,1,1,1,1,"CreateEvent",1,1,1,1
"74","evrom/wtforms-nocaptcha",3,2,10,2,5,"IssueCommentEvent",10,2,5,0.5
"75","brghena/sanderson-annotations",1,1,2,2,1,"ForkEvent",2,2,1,0.5
