"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","substack/insert-css",1,1,162,49,3.30612,"MemberEvent",162,49,3.30612,0
"2","pmneo/ts-importer",2,2,112,29,3.86207,"PullRequestEvent",112,29,3.86207,0
"3","xpeppers/starway-to-orione",2,1,85,45,1.88889,"IssuesEvent",85,45,1.88889,0
"4","opencv-java/getting-started",3,2,79,38,2.07895,"CommitCommentEvent",79,38,2.07895,0
"5","amnah/yii2-user",10,6,171,64,2.67188,"PullRequestEvent",171,64,2.67188,0
"6","codemix/yii2-dockerized",11,11,64,36,1.77778,"ForkEvent",64,36,1.77778,0
"7","getlantern/lantern-android",39,37,48,43,1.11628,"WatchEvent",48,43,1.11628,0
"8","rweekly/rweekly.org",50,46,585,102,5.73529,"ForkEvent",585,102,5.73529,0
"9","mozilla/all-aboard",306,3,2519,21,119.95238,"PushEvent",2519,21,119.95238,0
"10","amnah/yii2-user",58,15,171,64,2.67188,"IssueCommentEvent",171,64,2.67188,0
"11","rweekly/rweekly.org",102,28,585,102,5.73529,"PullRequestEvent",585,102,5.73529,0
"12","DIYgod/APlayer",123,35,895,483,1.853,"IssuesEvent",895,483,1.853,0
"13","Qwinix/ruby_set4",23,21,25,23,1.08696,"ForkEvent",25,23,1.08696,0
"14","yogthos/clj-pdf",8,8,240,57,4.21053,"ForkEvent",240,57,4.21053,0
"15","learn-co-students/swift-arrayMethods-lab-ios-0616",2,1,69,34,2.02941,"PushEvent",69,34,2.02941,0
"16","PolymerElements/app-layout-templates",15,15,38,27,1.40741,"WatchEvent",38,27,1.40741,0
"17","forcedotcom/SalesforceMobileSDK-iOS",15,3,2160,120,18,"CreateEvent",2160,120,18,0
"18","TASVideos/BizHawk",232,48,1524,173,8.80925,"IssuesEvent",1524,173,8.80925,0
"19","walmartlabs/active-status",3,1,86,39,2.20513,"IssuesEvent",86,39,2.20513,0
"20","dapphp/securimage",11,3,88,53,1.66038,"IssueCommentEvent",88,53,1.66038,0
"21","emoose/MBINCompiler",11,5,671,82,8.18293,"CommitCommentEvent",671,82,8.18293,0
"22","JB-Dmitry/monoid",1,1,23,22,1.04545,"ForkEvent",23,22,1.04545,0
"23","yahoo/mysql_perf_analyzer",13,13,65,57,1.14035,"ForkEvent",65,57,1.14035,0
"24","forcedotcom/SalesforceMobileSDK-iOS",304,8,2160,120,18,"PushEvent",2160,120,18,0
"25","kerryjiang/SuperSocket",15,1,451,305,1.47869,"PushEvent",451,305,1.47869,0
"26","divio/djangocms-googlemap",41,2,292,31,9.41935,"PushEvent",292,31,9.41935,0
"27","rstudio/bookdown",269,259,1418,461,3.07592,"WatchEvent",1418,461,3.07592,0
"28","gajus/table",6,1,155,53,2.92453,"CreateEvent",155,53,2.92453,0
"29","Tencent/bk-cmdb",6,1,608,386,1.57513,"GollumEvent",608,386,1.57513,0
"30","learn-co-students/swift-arrayMethods-lab-ios-0616",32,32,69,34,2.02941,"PullRequestEvent",69,34,2.02941,0
"31","learn-co-students/array-methods-lab-re-coded-000",29,29,59,30,1.96667,"PullRequestEvent",59,30,1.96667,0
"32","jeremykenedy/laravel-auth",13,5,103,70,1.47143,"IssueCommentEvent",103,70,1.47143,0
"33","KodeKraftwerk/reepio",3,2,178,136,1.30882,"IssueCommentEvent",178,136,1.30882,0
"34","substack/insert-css",4,2,162,49,3.30612,"PullRequestReviewCommentEvent",162,49,3.30612,0
"35","kakao/DaumEditor",11,11,42,36,1.16667,"ForkEvent",42,36,1.16667,0
"36","eklosdiehier/PokeScanner",3,1,36,34,1.05882,"PushEvent",36,34,1.05882,0
"37","eklosdiehier/PokeScanner",26,26,36,34,1.05882,"WatchEvent",36,34,1.05882,0
"38","mozilla/all-aboard",10,2,2519,21,119.95238,"CreateEvent",2519,21,119.95238,0
