"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","yyang005/AppStoreSearch",4,1,10,1,10,"PushEvent",10,1,10,1
"2","PurdyForks/javascript",1,1,1,1,1,"PushEvent",1,1,1,1
"3","linjunyu/linjunyu.github.io",1,1,14,2,7,"WatchEvent",14,2,7,0.5
"4","circle-test-organization/test-repo-1468859696307",1,1,1,1,1,"CreateEvent",1,1,1,1
"5","rl45/Project-1-Storm-Viewer",1,1,3,1,3,"PushEvent",3,1,3,1
"6","Otaekek/42sh",17,2,18,2,9,"PushEvent",18,2,9,0.5
"7","QinLingLing/xUtilsAnli",2,1,2,1,2,"CreateEvent",2,1,2,1
"8","infostretch/infostretch.github.io",1,1,3,1,3,"PushEvent",3,1,3,1
"9","johnchinjew/huumaans",57,1,62,1,62,"PushEvent",62,1,62,1
"10","macdonaldr93/sl-test-theme",2,1,2,1,2,"CreateEvent",2,1,2,1
"11","himalayabisural/himal",2,1,2,1,2,"CreateEvent",2,1,2,1
"12","cmccool2018/PracticeforTest1stTrimester",2,1,3,1,3,"CreateEvent",3,1,3,1
"13","TariqAmireh/CarrierPidgeon",2,1,3,1,3,"CreateEvent",3,1,3,1
"14","Summit-Haque/Project300",2,1,4,1,4,"CreateEvent",4,1,4,1
"15","haroon1432/maan",1,1,1,1,1,"CreateEvent",1,1,1,1
"16","atomist-web-test-staging/project_2nfhti368mpi0",1,1,5,2,2.5,"MemberEvent",5,2,2.5,0.5
"17","stickleprojects/VSDropAssist",1,1,1,1,1,"MemberEvent",1,1,1,1
"18","Eden-PHP/Facebook",2,2,2,2,1,"ForkEvent",2,2,1,0.5
"19","GlennGroupUCB/submm_python_routines",3,1,5,1,5,"PushEvent",5,1,5,1
"20","SAURAVDX007/MultipleActivity",2,1,2,1,2,"CreateEvent",2,1,2,1
"21","GlennGroupUCB/submm_python_routines",2,1,5,1,5,"CreateEvent",5,1,5,1
"22","foxiepaws/trirc",2,1,7,1,7,"CreateEvent",7,1,7,1
"23","atomist-web-test-staging/project_7klyvwrq6qakx",2,1,5,2,2.5,"PushEvent",5,2,2.5,0.5
"24","ldidry/apps",3,1,3,1,3,"PushEvent",3,1,3,1
"25","infostretch/infostretch.github.io",2,1,3,1,3,"CreateEvent",3,1,3,1
"26","ZhdanRuslan/MVC",4,1,5,1,5,"CreateEvent",5,1,5,1
"27","xiaozhiqi2016/oldpython",1,1,3,1,3,"PushEvent",3,1,3,1
"28","kasbeisl/Fangliste_2016",26,2,35,2,17.5,"PushEvent",35,2,17.5,0.5
"29","TariqAmireh/CarrierPidgeon",1,1,3,1,3,"PushEvent",3,1,3,1
"30","jusabiqra/jusabiqra1",1,1,1,1,1,"CreateEvent",1,1,1,1
"31","PW91/Static-webpage-built-based-on-PSD",2,1,2,1,2,"PushEvent",2,1,2,1
"32","rl45/Project-1-Storm-Viewer",2,1,3,1,3,"CreateEvent",3,1,3,1
"33","preston-thompson/graphics",2,1,4,1,4,"PushEvent",4,1,4,1
"34","marcoroth/mirrOS_wunderlist",5,1,18,1,18,"CreateEvent",18,1,18,1
"35","cmccool2018/PracticeforTest1stTrimester",1,1,3,1,3,"PushEvent",3,1,3,1
"36","Avogardo/todoreact",2,1,4,1,4,"CreateEvent",4,1,4,1
"37","johan1/rocket_tools",3,1,3,1,3,"PushEvent",3,1,3,1
"38","ezsystems/ezpublish-spi",46,1,57,2,28.5,"CreateEvent",57,2,28.5,0.5
"39","lukereative/silverstripe-podcast",9,1,18,1,18,"PushEvent",18,1,18,1
"40","BenZimUX/Riot-Games-API",2,1,15,1,15,"CreateEvent",15,1,15,1
"41","onye108/cookie-stand",1,1,72,1,72,"IssueCommentEvent",72,1,72,1
"42","slightlytyler/mocksy",1,1,1,1,1,"WatchEvent",1,1,1,1
"43","marcoroth/mirrOS_wunderlist",6,1,18,1,18,"PushEvent",18,1,18,1
"44","kasbeisl/Fangliste_2016",5,2,35,2,17.5,"CreateEvent",35,2,17.5,0.5
"45","lukereative/silverstripe-podcast",1,1,18,1,18,"DeleteEvent",18,1,18,1
"46","MatyasK/WeatherApp",2,1,2,1,2,"PushEvent",2,1,2,1
"47","2641062110/tutorial",2,1,2,1,2,"CreateEvent",2,1,2,1
"48","pramodh6/JKC-DEMO",2,1,28,1,28,"CreateEvent",28,1,28,1
"49","onye108/cookie-stand",28,1,72,1,72,"PushEvent",72,1,72,1
"50","ApakFR/SystemCMS-2k16",2,1,2,1,2,"CreateEvent",2,1,2,1
"51","jongha/redmine_vote",1,1,6,5,1.2,"ForkEvent",6,5,1.2,0.2
"52","lukereative/silverstripe-podcast",3,1,18,1,18,"ReleaseEvent",18,1,18,1
