"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"101","FranCarstens/event-listeners",8,1,11,1,11,"PushEvent",11,1,11,1
"102","pld-linux/offlineimap",1,1,11,2,5.5,"WatchEvent",11,2,5.5,0.5
"103","alfiehanssen/GIFSet",4,1,8,2,4,"PushEvent",8,2,4,0.5
"104","hidegital/utility",22,1,23,2,11.5,"PushEvent",23,2,11.5,0.5
"105","Anlibraly/test",2,1,11,1,11,"CreateEvent",11,1,11,1
"106","BB521/iosremote",2,1,2,1,2,"CreateEvent",2,1,2,1
"107","jlopezr/docker-ci",2,1,4,2,2,"CreateEvent",4,2,2,0.5
"108","hasefumi23/Labs",2,1,20,1,20,"CreateEvent",20,1,20,1
"109","Alaska47/AutoTabSwitcher",12,1,16,1,16,"PushEvent",16,1,16,1
"110","co2bo/komputer-maschine",1,1,2,2,1,"WatchEvent",2,2,1,0.5
"111","stuckyi/ng2_play",1,1,1,1,1,"MemberEvent",1,1,1,1
"112","AnastasiaGrigorenko/python_language",1,1,15,1,15,"CreateEvent",15,1,15,1
"113","0m3r3r/Etkinlik",1,1,1,1,1,"PushEvent",1,1,1,1
"114","thomasforth/leedssimplifiedwardmap",1,1,1,1,1,"ForkEvent",1,1,1,1
"115","evil-is-good/experiments",2,1,5,1,5,"CreateEvent",5,1,5,1
"116","Tanapruk/JavaPoetExample",2,1,8,1,8,"CreateEvent",8,1,8,1
"117","xiGUAwanOU/expenditure-recorder",14,2,18,2,9,"PushEvent",18,2,9,0.5
"118","linjiejie/freecodecamp",1,1,2,1,2,"CreateEvent",2,1,2,1
"119","Alina-Kovaleva/patchwork",1,1,3,1,3,"DeleteEvent",3,1,3,1
"120","citurbe/javascript-intro-to-debugging-web-0916",1,1,1,1,1,"PushEvent",1,1,1,1
"121","ramzesenok/texte",1,1,1,1,1,"CreateEvent",1,1,1,1
"122","alfiehanssen/GIFSet",2,2,8,2,4,"WatchEvent",8,2,4,0.5
"123","frankpaul142/chaide",1,1,1,1,1,"ForkEvent",1,1,1,1
"124","haimapi/loc_visual",2,1,4,1,4,"CreateEvent",4,1,4,1
"125","motobrew/test",1,1,6,1,6,"CreateEvent",6,1,6,1
"126","wharton-data-analytics/data-nite",2,1,19,2,9.5,"CreateEvent",19,2,9.5,0.5
"127","Scriptonita/Inversal-Org",1,1,1,1,1,"PushEvent",1,1,1,1
"128","DouglasLanca/recipes",1,1,9,1,9,"CreateEvent",9,1,9,1
"129","Misael27/caracas",1,1,1,1,1,"CreateEvent",1,1,1,1
"130","guumaster/functional-programming-talk-draft",1,1,2,1,2,"PushEvent",2,1,2,1
"131","Shirakumo/radiance-contribs",1,1,76,2,38,"WatchEvent",76,2,38,0.5
"132","approximatenumber/hostfinder",2,1,9,1,9,"CreateEvent",9,1,9,1
"133","FranCarstens/event-listeners",3,1,11,1,11,"CreateEvent",11,1,11,1
"134","White-Hat-EnigmaticWolf/angeveloper",1,1,1,1,1,"CreateEvent",1,1,1,1
"135","oxy-a/website-optimization",1,1,1,1,1,"CreateEvent",1,1,1,1
"136","DouglasLanca/recipes",2,1,9,1,9,"PullRequestEvent",9,1,9,1
"137","kilamaos/JeuDuBugVendredi",2,2,5,2,2.5,"PushEvent",5,2,2.5,0.5
"138","Alina-Kovaleva/patchwork",1,1,3,1,3,"MemberEvent",3,1,3,1
"139","abellina/storm",1,1,79,2,39.5,"ForkEvent",79,2,39.5,0.5
"140","erikmartinessanches/cppPrimer5th",5,1,7,1,7,"PushEvent",7,1,7,1
"141","tobiebooth/home-assistant.io",1,1,1,1,1,"PushEvent",1,1,1,1
"142","opskumu/docker-registry-compose",1,1,2,2,1,"WatchEvent",2,2,1,0.5
"143","gopinat/info-go",2,1,2,1,2,"CreateEvent",2,1,2,1
"144","CKitisak/garments-2",2,1,2,1,2,"CreateEvent",2,1,2,1
"145","direwolf-github/my-app-1130faab",1,1,7,1,7,"DeleteEvent",7,1,7,1
"146","zhaonan68/StockSharp",1,1,1,1,1,"ForkEvent",1,1,1,1
"147","sanyabt/cookbook",2,1,3,1,3,"CreateEvent",3,1,3,1
"148","photomattmills/midnight_computer",2,1,14,1,14,"CreateEvent",14,1,14,1
"149","robinrowe/Golden",1,1,3,1,3,"PushEvent",3,1,3,1
"150","mathalubos/vse-4it445",6,1,7,1,7,"CreateEvent",7,1,7,1
"151","direwolf-github/my-app-1130faab",1,1,7,1,7,"PushEvent",7,1,7,1
"152","tylernathanreed/laravel-auth",4,1,101,2,50.5,"DeleteEvent",101,2,50.5,0.5
"153","bencode/recode",2,1,2,1,2,"PushEvent",2,1,2,1
"154","WilBeCoding/No-mans-sky-spoiler-chrome-extension",1,1,3,1,3,"PushEvent",3,1,3,1
"155","gewoonsander/phptutorial",1,1,1,1,1,"CreateEvent",1,1,1,1
"156","Parrot-Developers/ARSDKTools",1,1,4,2,2,"ForkEvent",4,2,2,0.5
"157","pld-linux/offlineimap",5,1,11,2,5.5,"PushEvent",11,2,5.5,0.5
"158","tylernathanreed/laravel-auth",1,1,101,2,50.5,"ForkEvent",101,2,50.5,0.5
"159","hasefumi23/Labs",18,1,20,1,20,"PushEvent",20,1,20,1
"160","lamewing/VCTransitionsLibrary",1,1,1,1,1,"PushEvent",1,1,1,1
"161","guumaster/functional-programming-talk-draft",1,1,2,1,2,"CreateEvent",2,1,2,1
"162","zhangshou/jianli",10,1,12,1,12,"CreateEvent",12,1,12,1
"163","udbhav14/madrid",1,1,1,1,1,"CreateEvent",1,1,1,1
"164","al-kalin/akakaz",1,1,1,1,1,"CreateEvent",1,1,1,1
"165","AssmaBen/VIMNetworking",3,1,3,1,3,"PushEvent",3,1,3,1
"166","ralico/ShufflePuzzle",1,1,1,1,1,"PushEvent",1,1,1,1
"167","germanosk/openl5r",1,1,4,2,2,"WatchEvent",4,2,2,0.5
"168","hidegital/utility",1,1,23,2,11.5,"WatchEvent",23,2,11.5,0.5
"169","sasakiki1986/hello",2,1,2,1,2,"CreateEvent",2,1,2,1
