"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","bcmpinc/voxel-engine",1,1,5,5,1,"ForkEvent",5,5,1,0.2
"2","ultrafunk/NetInfo",1,1,5,3,1.66667,"ForkEvent",5,3,1.66667,0.3
"3","YFSS/jfm",123,3,131,3,43.66667,"PushEvent",131,3,43.66667,0.3
"4","149393437/ZCiFLYTEK",2,1,7,6,1.16667,"PushEvent",7,6,1.16667,0.2
"5","datacommunitydc/Datable_Portal",10,3,74,4,18.5,"CreateEvent",74,4,18.5,0.3
"6","skift/skift-strap",1,1,22,3,7.33333,"PublicEvent",22,3,7.33333,0.3
"7","deas/contentreich-alfresco-datalists",4,2,26,4,6.5,"PullRequestEvent",26,4,6.5,0.3
"8","NancyFx/Nancy.Bootstrappers.Windsor",1,1,70,7,10,"IssueCommentEvent",70,7,10,0.1
"9","deas/contentreich-alfresco-datalists",1,1,26,4,6.5,"ForkEvent",26,4,6.5,0.3
"10","bebraw/remark-react-lowlight",1,1,40,7,5.71429,"MemberEvent",40,7,5.71429,0.1
"11","unity-cn/Native-Rendering-Plugin",1,1,5,3,1.66667,"MemberEvent",5,3,1.66667,0.3
"12","coworkal/coworkal.github.io",2,2,33,4,8.25,"IssueCommentEvent",33,4,8.25,0.3
"13","coworkal/coworkal.github.io",2,2,33,4,8.25,"IssuesEvent",33,4,8.25,0.3
"14","twenty-zp/qiyi",2,1,6,5,1.2,"PushEvent",6,5,1.2,0.2
"15","bebraw/remark-react-lowlight",2,1,40,7,5.71429,"PullRequestReviewCommentEvent",40,7,5.71429,0.1
"16","InfinitePW/web2_mii",2,1,35,3,11.66667,"MemberEvent",35,3,11.66667,0.3
"17","datacommunitydc/Datable_Portal",3,2,74,4,18.5,"WatchEvent",74,4,18.5,0.3
"18","plasma-dot-net/plasma",3,3,4,3,1.33333,"WatchEvent",4,3,1.33333,0.3
"19","lefevre00/parking",6,2,337,4,84.25,"GollumEvent",337,4,84.25,0.3
"20","meanbee/docker-magento",6,2,56,11,5.09091,"IssueCommentEvent",56,11,5.09091,0.1
"21","stsb11/soldering_license",3,3,21,5,4.2,"ForkEvent",21,5,4.2,0.2
"22","jaysalvat/boilerplate-static-website",2,2,5,3,1.66667,"WatchEvent",5,3,1.66667,0.3
"23","afrihost/swarm-process",4,3,15,3,5,"PullRequestEvent",15,3,5,0.3
"24","UV-CDAT/cdms",31,3,322,11,29.27273,"PullRequestEvent",322,11,29.27273,0.1
"25","MikkelSchubert/paleomix",5,3,30,5,6,"IssueCommentEvent",30,5,6,0.2
"26","arcamolesi/LPBCC",3,3,22,6,3.66667,"ForkEvent",22,6,3.66667,0.2
"27","n13i/bombtter",3,1,10,5,2,"PushEvent",10,5,2,0.2
"28","smalltide/react-native-weather",1,1,5,3,1.66667,"PushEvent",5,3,1.66667,0.3
"29","DamonOehlman/addressit",9,9,37,17,2.17647,"WatchEvent",37,17,2.17647,0.1
"30","andgein/lksh-ru",1,1,77,3,25.66667,"WatchEvent",77,3,25.66667,0.3
"31","feuerbach/freemonad-benchmark",2,2,13,5,2.6,"WatchEvent",13,5,2.6,0.2
"32","libgraviton/GravitonTestServicesBundle",7,4,56,6,9.33333,"DeleteEvent",56,6,9.33333,0.2
"33","infosecsmith/MimikatzLite",1,1,9,8,1.125,"IssuesEvent",9,8,1.125,0.1
"34","ITGlobal/dashboard",2,1,25,3,8.33333,"IssuesEvent",25,3,8.33333,0.3
"35","zwliew/android_device_asus_deb",1,1,3,3,1,"PushEvent",3,3,1,0.3
"36","antoyo/titanium",39,1,49,9,5.44444,"PushEvent",49,9,5.44444,0.1
