"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","ESDL-org-39523946/repository2",2,2,14,3,4.66667,"PullRequestEvent",14,3,4.66667,0.3
"2","santoshvempati/MaaAahwanam",5,1,444,4,111,"MemberEvent",444,4,111,0.3
"3","digigene/account-authenticator",7,7,74,12,6.16667,"ForkEvent",74,12,6.16667,0.1
"4","eutelescope/eutelescope",21,3,227,14,16.21429,"IssuesEvent",227,14,16.21429,0.1
"5","eutelescope/eutelescope",50,7,227,14,16.21429,"IssueCommentEvent",227,14,16.21429,0.1
"6","santoshvempati/MaaAahwanam",430,4,444,4,111,"PushEvent",444,4,111,0.3
"7","o-sam-o/yayimdbs",1,1,9,4,2.25,"PushEvent",9,4,2.25,0.3
"8","Deligor6321/proprietary_vendor_xiaomi_ido",2,2,14,4,3.5,"ForkEvent",14,4,3.5,0.3
"9","SNU-HCIL/2015-SNUBDA-Winter",2,1,8,3,2.66667,"MemberEvent",8,3,2.66667,0.3
"10","menpo/menpo-notebooks",2,2,31,7,4.42857,"WatchEvent",31,7,4.42857,0.1
"11","mafintosh/k-rpc",3,3,19,8,2.375,"PullRequestEvent",19,8,2.375,0.1
"12","signalpoint/push_notifications",19,5,39,6,6.5,"IssueCommentEvent",39,6,6.5,0.2
"13","auth0/contact-form",22,3,94,7,13.42857,"CreateEvent",94,7,13.42857,0.1
"14","cloudcmd/ru",62,2,65,3,21.66667,"PushEvent",65,3,21.66667,0.3
"15","htmlacademy-htmlcss/40812-technomart",1,1,7,4,1.75,"PushEvent",7,4,1.75,0.3
"16","Elucin/MetalEgo-BulletCore",90,3,118,3,39.33333,"PushEvent",118,3,39.33333,0.3
"17","firepick-delta/Marlin",1,1,4,4,1,"WatchEvent",4,4,1,0.3
"18","kvirair/Compass-View",5,5,15,7,2.14286,"WatchEvent",15,7,2.14286,0.1
"19","Edools/active_merchant",49,3,152,4,38,"CreateEvent",152,4,38,0.3
"20","ctrekker/onlinedesktop",9,2,104,3,34.66667,"CreateEvent",104,3,34.66667,0.3
"21","auth0/contact-form",9,2,94,7,13.42857,"DeleteEvent",94,7,13.42857,0.1
"22","signalpoint/push_notifications",12,6,39,6,6.5,"IssuesEvent",39,6,6.5,0.2
"23","MakeSchool-18/Linked-List-brianhans",1,1,5,4,1.25,"MemberEvent",5,4,1.25,0.3
"24","Edools/active_merchant",27,3,152,4,38,"PullRequestEvent",152,4,38,0.3
"25","aaronpk/webmention",58,10,90,18,5,"IssueCommentEvent",90,18,5,0.1
"26","santoshvempati/MaaAahwanam",1,1,444,4,111,"IssueCommentEvent",444,4,111,0.3
"27","LuxoftAKutsan/FaceRecognizer",5,1,15,5,3,"PushEvent",15,5,3,0.2
"28","cedx/yii2-mustache",3,3,123,4,30.75,"WatchEvent",123,4,30.75,0.3
"29","eclipsesource/tabris-js-experiments",3,1,80,3,26.66667,"CreateEvent",80,3,26.66667,0.3
"30","Deligor6321/proprietary_vendor_xiaomi_ido",1,1,14,4,3.5,"DeleteEvent",14,4,3.5,0.3
"31","CollegeBart/bart-dx-engine-e16",1,1,74,7,10.57143,"IssueCommentEvent",74,7,10.57143,0.1
"32","jpbonson/SBBFramework",1,1,53,5,10.6,"ForkEvent",53,5,10.6,0.2
"33","eclipsesource/tabris-js-experiments",2,2,80,3,26.66667,"ForkEvent",80,3,26.66667,0.3
