"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","danielhusar/movie-title",1,1,5,2,2.5,"PushEvent",5,2,2.5,0.5
"2","Az404/di",1,1,10,2,5,"MemberEvent",10,2,5,0.5
"3","subhamG98/HuntShunt",5,1,8,1,8,"PushEvent",8,1,8,1
"4","mattduboismatt/please-pack",41,1,43,1,43,"PushEvent",43,1,43,1
"5","tigberd-dotfiles/gm_scripts",3,1,3,1,3,"PushEvent",3,1,3,1
"6","det101/gulp-book",1,1,1,1,1,"WatchEvent",1,1,1,1
"7","cnaude/PurpleIRC-forge-1.8",2,1,2,1,2,"PushEvent",2,1,2,1
"8","pravosleva/DETA-test",13,1,18,1,18,"PushEvent",18,1,18,1
"9","dascbh/mezzanine-exercise",2,1,2,1,2,"CreateEvent",2,1,2,1
"10","slskopytko/speumufeqk",2,1,3,1,3,"CreateEvent",3,1,3,1
"11","Wonderbroke/hello-world",3,1,4,1,4,"CreateEvent",4,1,4,1
"12","petercurcio/dotfiles_github",2,1,11,1,11,"CreateEvent",11,1,11,1
"13","GladysProject/gladys-sonos",2,1,14,1,14,"CreateEvent",14,1,14,1
"14","lucianobarauna/estudos",1,1,46,1,46,"DeleteEvent",46,1,46,1
"15","Trodis/FacebookEventScraper",1,1,3,3,1,"IssuesEvent",3,3,1,0.3
"16","wbrunette/tables",1,1,4,2,2,"MemberEvent",4,2,2,0.5
"17","pravosleva/DETA-test",2,1,18,1,18,"PullRequestEvent",18,1,18,1
"18","slskopytko/speumufeqk",1,1,3,1,3,"PushEvent",3,1,3,1
"19","Az404/di",3,2,10,2,5,"CreateEvent",10,2,5,0.5
"20","atomist-test/project-ym0gkqixziox0",1,1,5,2,2.5,"MemberEvent",5,2,2.5,0.5
"21","2amigos/yii2-leaflet-geosearch-plugin",2,1,6,3,2,"PushEvent",6,3,2,0.3
"22","abdullahcaliskan/servis-takip-v2",1,1,3,1,3,"PushEvent",3,1,3,1
"23","jundaydayup/test",1,1,2,1,2,"CreateEvent",2,1,2,1
"24","koukimetal/my_tasklist",2,1,3,1,3,"CreateEvent",3,1,3,1
"25","MANDISON/OKInviteToGroups",18,1,23,2,11.5,"PushEvent",23,2,11.5,0.5
"26","zeakey/zeakey.github.io",115,1,115,1,115,"PushEvent",115,1,115,1
"27","BSData/necromunda",1,1,1,1,1,"CreateEvent",1,1,1,1
"28","saikek/QServer",5,1,31,1,31,"GollumEvent",31,1,31,1
"29","Chester-Chu/TEST",2,1,5,2,2.5,"CreateEvent",5,2,2.5,0.5
"30","subhamG98/HuntShunt",3,1,8,1,8,"CreateEvent",8,1,8,1
"31","adamjgrant/vegankit-embed",3,1,22,1,22,"CreateEvent",22,1,22,1
"32","valbok/sitcmalloc",44,1,44,1,44,"PushEvent",44,1,44,1
"33","vtaskow/hello-world1",3,1,7,1,7,"CreateEvent",7,1,7,1
"34","MANDISON/OKInviteToGroups",1,1,23,2,11.5,"IssuesEvent",23,2,11.5,0.5
"35","S-Dafarra/icub-gazebo-wholebody",1,1,2,1,2,"PushEvent",2,1,2,1
"36","CristinaMtzR18/3_Lenguajes_web",2,1,2,1,2,"CreateEvent",2,1,2,1
"37","Schm0ftie/oszimt",2,1,3,1,3,"CreateEvent",3,1,3,1
"38","forybm/lookking",2,1,4,1,4,"CreateEvent",4,1,4,1
"39","lucianobarauna/estudos",5,1,46,1,46,"CreateEvent",46,1,46,1
"40","Az404/di",6,2,10,2,5,"PushEvent",10,2,5,0.5
"41","Schm0ftie/oszimt",1,1,3,1,3,"PushEvent",3,1,3,1
"42","direwolf-github/my-app-3bc0e013",1,1,5,1,5,"DeleteEvent",5,1,5,1
"43","sashaserg/Micron-T",2,1,5,1,5,"CreateEvent",5,1,5,1
"44","crabfang/ExtensibleAdapter",2,1,16,2,8,"CreateEvent",16,2,8,0.5
"45","pushjaswal/movieDb",4,1,6,1,6,"CreateEvent",6,1,6,1
"46","mobarokHossain/diary",4,1,6,1,6,"PushEvent",6,1,6,1
"47","crabfang/ExtensibleAdapter",4,2,16,2,8,"PullRequestEvent",16,2,8,0.5
"48","dreiv/ng-scroll-maintain",4,1,13,1,13,"CreateEvent",13,1,13,1
"49","adamjgrant/vegankit-embed",19,1,22,1,22,"PushEvent",22,1,22,1
"50","NStephenson/cs-java-hello-world-lab-g-416",1,1,1,1,1,"PushEvent",1,1,1,1
"51","Rennannan/gerenzhuye",2,1,2,1,2,"CreateEvent",2,1,2,1
"52","direwolf-github/my-app-3bc0e013",3,1,5,1,5,"CreateEvent",5,1,5,1
"53","AhmetEkti/Arduino---Projeleri",1,1,3,1,3,"DeleteEvent",3,1,3,1
"54","thedan84/Park-Pass",9,1,11,1,11,"PushEvent",11,1,11,1
"55","S-Dafarra/icub-gazebo-wholebody",1,1,2,1,2,"CreateEvent",2,1,2,1
"56","isisliu/github-service-fb33362e-1794-4b00-8e9d-e9b3879c71a5",2,1,2,1,2,"CreateEvent",2,1,2,1
"57","wbrunette/tables",3,1,4,2,2,"PushEvent",4,2,2,0.5
"58","nagucc/jkef-model",14,1,14,1,14,"PushEvent",14,1,14,1
"59","thedan84/Park-Pass",2,1,11,1,11,"CreateEvent",11,1,11,1
"60","hdwf01/VR0001",1,1,1,1,1,"CreateEvent",1,1,1,1
"61","crabfang/ExtensibleAdapter",1,1,16,2,8,"ForkEvent",16,2,8,0.5
"62","koukimetal/my_tasklist",1,1,3,1,3,"PushEvent",3,1,3,1
"63","josivan/commareagui-ng2",2,1,4,1,4,"PushEvent",4,1,4,1
"64","cmsgears/plugin-file-manager",5,1,5,1,5,"PushEvent",5,1,5,1
"65","cigefi/dat2netcdf",5,1,7,1,7,"PushEvent",7,1,7,1
"66","petercurcio/dotfiles_github",9,1,11,1,11,"PushEvent",11,1,11,1
"67","guochengfeng/ife-2016-spring",18,1,20,1,20,"PushEvent",20,1,20,1
"68","kannawin/botbot",2,1,4,1,4,"CreateEvent",4,1,4,1
"69","Wewe12/dogvisitor",9,1,10,1,10,"PushEvent",10,1,10,1
"70","josivan/commareagui-ng2",2,1,4,1,4,"CreateEvent",4,1,4,1
"71","2amigos/yii2-leaflet-geosearch-plugin",1,1,6,3,2,"WatchEvent",6,3,2,0.3
"72","Wonderbroke/hello-world",1,1,4,1,4,"PushEvent",4,1,4,1
"73","sashaserg/Micron-T",1,1,5,1,5,"PushEvent",5,1,5,1
"74","streetjerk/d1e2m3o4a5p6p7",2,1,3,1,3,"CreateEvent",3,1,3,1
"75","crabfang/ExtensibleAdapter",8,1,16,2,8,"PushEvent",16,2,8,0.5
"76","masbaghkondori/Ex20_1",1,1,1,1,1,"CreateEvent",1,1,1,1
"77","kpmeen/docker-clamav",2,1,2,1,2,"PushEvent",2,1,2,1
"78","robstoll/checkstyle",14,1,15,1,15,"PushEvent",15,1,15,1
"79","atomist-test/project-ym0gkqixziox0",2,1,5,2,2.5,"CreateEvent",5,2,2.5,0.5
"80","starneshl/starneshl.github.io",3,1,8,1,8,"CreateEvent",8,1,8,1
"81","Wewe12/dogvisitor",1,1,10,1,10,"PublicEvent",10,1,10,1
"82","vtaskow/hello-world1",2,1,7,1,7,"PushEvent",7,1,7,1
"83","dreiv/ng-scroll-maintain",8,1,13,1,13,"PushEvent",13,1,13,1
"84","thomasloven/dito",1,1,1,1,1,"WatchEvent",1,1,1,1
"85","direwolf-github/my-app-3bc0e013",1,1,5,1,5,"PushEvent",5,1,5,1
"86","JadynWang/wangjitian",1,1,1,1,1,"CreateEvent",1,1,1,1
"87","569969524/yuanchenrepo",2,1,2,1,2,"CreateEvent",2,1,2,1
"88","vtaskow/hello-world1",2,1,7,1,7,"PullRequestEvent",7,1,7,1
"89","MANDISON/OKInviteToGroups",3,1,23,2,11.5,"CreateEvent",23,2,11.5,0.5
"90","pravosleva/DETA-test",3,1,18,1,18,"CreateEvent",18,1,18,1
"91","marvin-we/steemit-example",5,1,7,1,7,"PushEvent",7,1,7,1
"92","PedroMolina11/inicial2",1,1,3,1,3,"PushEvent",3,1,3,1
"93","AlexAegis/cs-snake",5,1,8,1,8,"PushEvent",8,1,8,1
"94","PedroMolina11/inicial2",2,1,3,1,3,"CreateEvent",3,1,3,1
"95","marvin-we/steemit-example",2,1,7,1,7,"CreateEvent",7,1,7,1
"96","zhaochengzcq/Tutorial",1,1,1,1,1,"CreateEvent",1,1,1,1
"97","FHSComputerScience/Tetris",1,1,13,1,13,"DeleteEvent",13,1,13,1
"98","raccoonAndy/recenter",2,1,17,1,17,"CreateEvent",17,1,17,1
"99","FHSComputerScience/Tetris",1,1,13,1,13,"IssuesEvent",13,1,13,1
"100","AlexAegis/cs-snake",3,1,8,1,8,"CreateEvent",8,1,8,1
"101","IndicadoresUN/git-con-r",3,1,9,1,9,"PushEvent",9,1,9,1
"102","ClawsDev/PongMaster",1,1,1,1,1,"PushEvent",1,1,1,1
"103","stewarthines/stewarthines",1,1,2,1,2,"PushEvent",2,1,2,1
"104","Trodis/FacebookEventScraper",1,1,3,3,1,"PushEvent",3,3,1,0.3
"105","Martinnord/portfolio",1,1,1,1,1,"CreateEvent",1,1,1,1
