"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","resque/redis-namespace",14,14,87,55,1.58182,"ForkEvent",87,55,1.58182,0
"2","projectknife/Projectfork",2,2,62,34,1.82353,"ForkEvent",62,34,1.82353,0
"3","gildas-lormeau/SingleFile",9,1,38,24,1.58333,"PushEvent",38,24,1.58333,0
"4","wangxg2016/vue-bulma",26,1,150,101,1.48515,"PushEvent",150,101,1.48515,0
"5","travist/meanapp",1,1,94,86,1.09302,"PushEvent",94,86,1.09302,0
"6","kevinjqiu/cdbcli",65,4,448,23,19.47826,"IssuesEvent",448,23,19.47826,0
"7","skylightio/skylight-ruby",16,12,243,73,3.32877,"IssuesEvent",243,73,3.32877,0
"8","GavinJoyce/ember-beats",1,1,60,23,2.6087,"ForkEvent",60,23,2.6087,0
"9","japaric/f3",172,2,761,34,22.38235,"PushEvent",761,34,22.38235,0
"10","PascalCoin/PascalCoin",35,1,208,24,8.66667,"PushEvent",208,24,8.66667,0
"11","kevinjqiu/cdbcli",19,19,448,23,19.47826,"WatchEvent",448,23,19.47826,0
"12","GavinJoyce/ember-beats",8,1,60,23,2.6087,"CreateEvent",60,23,2.6087,0
"13","like4hub/CustomViewForClock",2,1,43,36,1.19444,"CreateEvent",43,36,1.19444,0
"14","DmitryUlyanov/neural-style-audio-tf",2,1,131,118,1.11017,"CreateEvent",131,118,1.11017,0
"15","pydanny/cookiecutter-django",181,3,3692,950,3.88632,"CreateEvent",3692,950,3.88632,0
"16","faylang/fay",7,1,77,49,1.57143,"CreateEvent",77,49,1.57143,0
"17","GavinJoyce/ember-beats",5,1,60,23,2.6087,"DeleteEvent",60,23,2.6087,0
"18","vraa/route-planner",1,1,40,24,1.66667,"DeleteEvent",40,24,1.66667,0
"19","AWS2/welcome",155,17,281,22,12.77273,"GollumEvent",281,22,12.77273,0
"20","flyway/flyway",200,125,1311,762,1.72047,"IssuesEvent",1311,762,1.72047,0
"21","woboq/verdigris",6,4,65,44,1.47727,"IssuesEvent",65,44,1.47727,0
"22","ajoberstar/grgit",5,1,165,56,2.94643,"ReleaseEvent",165,56,2.94643,0
