"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","sreelakshmisetturu/Implementation-of-LZW-algorithm",1,1,2,1,2,"PushEvent",2,1,2,1
"2","coderzhw/HelloMongoDB",1,1,7,1,7,"PushEvent",7,1,7,1
"3","hanis001/Android-stats-app",12,1,48,1,48,"PushEvent",48,1,48,1
"4","algolia/bootstrap",1,1,1,1,1,"WatchEvent",1,1,1,1
"5","cassandradanger/swaggerHubApi",2,1,6,1,6,"CreateEvent",6,1,6,1
"6","LarissaSMU/Happytejas",2,1,6,2,3,"CreateEvent",6,2,3,0.5
"7","brunofarache/liferay-push-ios",3,1,13,2,6.5,"CreateEvent",13,2,6.5,0.5
"8","RickMyers/Aura",1,1,1,1,1,"PublicEvent",1,1,1,1
"9","juanmanuelramallo/Monster-Pi",7,1,7,1,7,"PushEvent",7,1,7,1
"10","KrzysztofSadowski/JQuery",1,1,6,2,3,"MemberEvent",6,2,3,0.5
"11","KrzysztofSadowski/JQuery",2,1,6,2,3,"CommitCommentEvent",6,2,3,0.5
"12","TheoHamm/new-roads-intro-to-java",2,1,2,1,2,"PushEvent",2,1,2,1
"13","amitkshgit/sap",5,1,7,1,7,"PushEvent",7,1,7,1
"14","Aslm/ilichee",1,1,1,1,1,"WatchEvent",1,1,1,1
"15","coList/testRep",2,1,3,1,3,"CreateEvent",3,1,3,1
"16","cemobas/EliteScheduleApp",2,1,3,1,3,"CreateEvent",3,1,3,1
"17","dylanowen/bart-pi",2,1,18,1,18,"CreateEvent",18,1,18,1
"18","sairam1284/poros",2,1,12,1,12,"DeleteEvent",12,1,12,1
"19","BoazJR/blog",2,1,2,1,2,"PushEvent",2,1,2,1
"20","KrzysztofSadowski/JQuery",2,1,6,2,3,"CreateEvent",6,2,3,0.5
"21","mobi94/ScreenOffWidget",3,1,10,1,10,"CreateEvent",10,1,10,1
"22","mellellar/To-do",1,1,5,2,2.5,"MemberEvent",5,2,2.5,0.5
"23","PJMPR/Brewkit",1,1,2,2,1,"MemberEvent",2,2,1,0.5
"24","artemipanchuk/hyro",3,1,5,1,5,"PushEvent",5,1,5,1
"25","carld/shared_memory",1,1,4,1,4,"WatchEvent",4,1,4,1
"26","venizeng/rancher",2,1,2,1,2,"CreateEvent",2,1,2,1
"27","dibyaroy/JavaSample",2,1,5,1,5,"CreateEvent",5,1,5,1
"28","CodeCanna/simple_slider",1,1,1,1,1,"CreateEvent",1,1,1,1
"29","IanFonzie/lighthouse-labs",2,1,2,1,2,"CreateEvent",2,1,2,1
"30","IvanReyesN94/Tutorial",1,1,3,1,3,"PushEvent",3,1,3,1
"31","KrzysztofSadowski/JQuery",1,1,6,2,3,"PushEvent",6,2,3,0.5
"32","lsewilson/thermostat",7,1,11,1,11,"PushEvent",11,1,11,1
"33","Disqovery2016/Farmassist",1,1,1,1,1,"CreateEvent",1,1,1,1
"34","carld/shared_memory",2,1,4,1,4,"CreateEvent",4,1,4,1
"35","coderzhw/HelloMongoDB",6,1,7,1,7,"CreateEvent",7,1,7,1
"36","slskopytko/yqcbaxkooe",2,1,2,1,2,"CreateEvent",2,1,2,1
"37","brunofarache/liferay-push-ios",2,2,13,2,6.5,"PullRequestEvent",13,2,6.5,0.5
"38","lsewilson/thermostat",4,1,11,1,11,"CreateEvent",11,1,11,1
"39","andreyevyk/Logica-de-programa-p",1,1,1,1,1,"CreateEvent",1,1,1,1
"40","atomist-web-test-staging/project_1tpctwuqbf8j9",1,1,3,1,3,"PushEvent",3,1,3,1
"41","Danielmfn/Script-prices",1,1,1,1,1,"WatchEvent",1,1,1,1
"42","goento/master",1,1,1,1,1,"CreateEvent",1,1,1,1
"43","bigescalade/ass2web",2,1,2,1,2,"CreateEvent",2,1,2,1
"44","huakaibanxia123/flux",2,1,2,1,2,"CreateEvent",2,1,2,1
"45","mellellar/To-do",2,1,5,2,2.5,"CreateEvent",5,2,2.5,0.5
"46","amitkshgit/sap",2,1,7,1,7,"CreateEvent",7,1,7,1
"47","doorain/JS-Closures",3,1,3,1,3,"PushEvent",3,1,3,1
"48","Sam416/Sam416.github.io",3,1,3,1,3,"PushEvent",3,1,3,1
"49","songsinrc/club",2,1,2,1,2,"CreateEvent",2,1,2,1
"50","MakeSchool/mineswifter-demo",1,1,1,1,1,"WatchEvent",1,1,1,1
"51","NarekDW/LastTest",2,1,4,1,4,"PushEvent",4,1,4,1
"52","nanoSDK/sdk-vat-calculator-1",8,1,13,2,6.5,"CreateEvent",13,2,6.5,0.5
"53","hanis001/Android-stats-app",8,1,48,1,48,"DeleteEvent",48,1,48,1
"54","Pomp11/foodclub",3,1,3,1,3,"PushEvent",3,1,3,1
"55","carld/shared_memory",1,1,4,1,4,"PushEvent",4,1,4,1
"56","icleen/graphs",6,1,9,1,9,"PushEvent",9,1,9,1
"57","5lodii99/123",2,1,2,1,2,"CreateEvent",2,1,2,1
"58","circle-test-organization/test-repo-1482020601510",1,1,1,1,1,"CreateEvent",1,1,1,1
"59","ac1217/KCWebViewController",1,1,4,1,4,"PushEvent",4,1,4,1
"60","fgodeanu/test",1,1,1,1,1,"CreateEvent",1,1,1,1
"61","sairam1284/poros",4,1,12,1,12,"PullRequestEvent",12,1,12,1
"62","nuttea/docker-NCAplus",2,1,3,1,3,"CreateEvent",3,1,3,1
"63","pdz1234/pdz1234.github.io",7,1,7,1,7,"PushEvent",7,1,7,1
"64","davidmartinbarrios/Prodigi",2,1,2,1,2,"CreateEvent",2,1,2,1
"65","Zouyiran/learngit",1,1,3,1,3,"CreateEvent",3,1,3,1
"66","deepthivh/helloIT",3,1,8,1,8,"CreateEvent",8,1,8,1
"67","EverCode-Dev/EverCode",1,1,1,1,1,"MemberEvent",1,1,1,1
"68","hoosiki/CRMC",6,1,8,1,8,"PushEvent",8,1,8,1
"69","AlekseiShabalin/java_project",20,1,20,1,20,"PushEvent",20,1,20,1
"70","MatiasCarpintini/Blog",1,1,1,1,1,"CreateEvent",1,1,1,1
"71","weixing2014/overtime-app",23,1,25,1,25,"PushEvent",25,1,25,1
"72","nanoSDK/sdk-vat-calculator-1",5,1,13,2,6.5,"MemberEvent",13,2,6.5,0.5
"73","brunofarache/liferay-push-ios",1,1,13,2,6.5,"ForkEvent",13,2,6.5,0.5
"74","saraakram13/AutomationFramework",2,1,2,1,2,"CreateEvent",2,1,2,1
"75","lpalliyaguru/api-music",3,1,37,1,37,"CreateEvent",37,1,37,1
"76","InactiveUser/PokemonShowdown-server",8,1,11,1,11,"CreateEvent",11,1,11,1
"77","coList/testRep",1,1,3,1,3,"PushEvent",3,1,3,1
"78","NarekDW/LastTest",2,1,4,1,4,"CreateEvent",4,1,4,1
"79","huangleisir/hi",1,1,1,1,1,"CreateEvent",1,1,1,1
"80","dibyaroy/JavaSample",3,1,5,1,5,"PushEvent",5,1,5,1
"81","KazuakiM/neosnippet-snippets",1,1,1,1,1,"PushEvent",1,1,1,1
"82","hanis001/Android-stats-app",10,1,48,1,48,"CreateEvent",48,1,48,1
"83","InactiveUser/PokemonShowdown-server",3,1,11,1,11,"PushEvent",11,1,11,1
"84","lpalliyaguru/api-music",34,1,37,1,37,"PushEvent",37,1,37,1
