"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"1","YacoobHolden/monster-ui",1,1,546,3,182,"ForkEvent",546,3,182,0.3
"2","spryker/StateMachine",58,1,111,3,37,"PushEvent",111,3,37,0.3
"3","SymphonyTeleca/OpenTouryo",80,4,370,5,74,"PushEvent",370,5,74,0.2
"4","shehzan10/arrayfire",43,1,256,4,64,"CreateEvent",256,4,64,0.3
"5","Mcdostone/HTML-CSS",1,1,15,3,5,"ForkEvent",15,3,5,0.3
"6","philipbeel/example-istanbul-gulp-coverage",3,3,5,4,1.25,"ForkEvent",5,4,1.25,0.3
"7","chute/avatars-io-node",3,3,3,3,1,"WatchEvent",3,3,1,0.3
"8","szieke/ScriptCommunicator_serial-terminal",5,5,156,9,17.33333,"WatchEvent",156,9,17.33333,0.1
"9","OpenChannelSSD/liblightnvm",119,1,568,13,43.69231,"CreateEvent",568,13,43.69231,0.1
"10","chatid/iframe-transport",2,1,18,3,6,"DeleteEvent",18,3,6,0.3
"11","ixdi/migracions",5,1,36,8,4.5,"MemberEvent",36,8,4.5,0.1
"12","shehzan10/arrayfire",18,2,256,4,64,"IssueCommentEvent",256,4,64,0.3
"13","Wikifab/wikifab-main",6,3,93,15,6.2,"IssueCommentEvent",93,15,6.2,0.1
"14","jjv360/InfoWatch",1,1,10,4,2.5,"CommitCommentEvent",10,4,2.5,0.3
"15","muhammad-magdy/WPFToastNotification",4,4,43,16,2.6875,"ForkEvent",43,16,2.6875,0.1
"16","slidewiki/microservice-template",1,1,13,3,4.33333,"ForkEvent",13,3,4.33333,0.3
"17","bibryam/openshift-recipes",3,3,14,5,2.8,"ForkEvent",14,5,2.8,0.2
"18","NethServer/nethserver-firewall-base",5,4,128,6,21.33333,"ForkEvent",128,6,21.33333,0.2
"19","ibm-bluemix-mobile-services/appid-clientsdk-android",28,3,33,4,8.25,"PushEvent",33,4,8.25,0.3
"20","ThePatrickStar/LearnCapstone",4,4,8,5,1.6,"WatchEvent",8,5,1.6,0.2
"21","aKalisch/GOSX-Multihack",1,1,62,10,6.2,"DeleteEvent",62,10,6.2,0.1
"22","liampauling/betfairlightweight",3,1,169,13,13,"GollumEvent",169,13,13,0.1
"23","insthync/suriyun-unet-mmorpg",2,2,65,5,13,"IssuesEvent",65,5,13,0.2
"24","tomachalek/orzojs",2,1,32,3,10.66667,"IssuesEvent",32,3,10.66667,0.3
"25","spryker/StateMachine",5,2,111,3,37,"ReleaseEvent",111,3,37,0.3
"26","OpenChannelSSD/liblightnvm",1,1,568,13,43.69231,"IssueCommentEvent",568,13,43.69231,0.1
"27","kevinbeaty/transducers-explained",1,1,10,4,2.5,"IssuesEvent",10,4,2.5,0.3
