"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"304","KNRobocik/ROV2.0",11,1,20,3,6.66667,"MemberEvent",20,3,6.66667,0.3
"305","karandesai-96/tardis",146,1,191,3,63.66667,"PushEvent",191,3,63.66667,0.3
"306","MediaBrowser/CommonIO",3,3,4,4,1,"ForkEvent",4,4,1,0.3
"307","kamperh/couscous",6,6,8,7,1.14286,"ForkEvent",8,7,1.14286,0.1
"308","bvsf/sigcaw",6,6,194,6,32.33333,"ForkEvent",194,6,32.33333,0.2
"309","Youmoo/js-auto-execute-4-chrome",2,2,3,3,1,"WatchEvent",3,3,1,0.3
"310","rizo/elements",1,1,52,3,17.33333,"WatchEvent",52,3,17.33333,0.3
"311","NemoTravel/nemo.travel.fares",1,1,17,3,5.66667,"WatchEvent",17,3,5.66667,0.3
"312","ATM-Consulting/dolibarr_module_fraisdeport",2,2,8,3,2.66667,"PullRequestEvent",8,3,2.66667,0.3
"313","SpringMCLegacy/SpringMCLegacy",11,4,244,5,48.8,"IssueCommentEvent",244,5,48.8,0.2
"314","javedLive/get-test",2,2,10,3,3.33333,"ForkEvent",10,3,3.33333,0.3
"315","hansott/psr7-cookies",14,1,28,4,7,"PushEvent",28,4,7,0.3
"316","wso2/devstudio-tooling-bps",27,4,269,16,16.8125,"PushEvent",269,16,16.8125,0.1
"317","PolymerElements/iron-validatable-behavior",14,4,37,14,2.64286,"PushEvent",37,14,2.64286,0.1
"318","jeokrohn/cisco_spark",2,2,10,3,3.33333,"WatchEvent",10,3,3.33333,0.3
"319","wso2/devstudio-tooling-bps",12,4,269,16,16.8125,"CreateEvent",269,16,16.8125,0.1
"320","sdgathman/pymilter",7,1,107,11,9.72727,"CreateEvent",107,11,9.72727,0.1
"321","sudweb/manifeste",1,1,5,3,1.66667,"CreateEvent",5,3,1.66667,0.3
"322","sendsonar/send_sonar_gem",3,1,5,3,1.66667,"MemberEvent",5,3,1.66667,0.3
"323","material-foundation/material-text-accessibility-ios",3,2,83,11,7.54545,"PullRequestReviewCommentEvent",83,11,7.54545,0.1
"324","openstack/mixmatch",20,1,25,5,5,"PushEvent",25,5,5,0.2
"325","rocketoutfall/rocketoutfall.github.io",62,4,62,4,15.5,"PushEvent",62,4,15.5,0.3
"326","squidproxy/onesafe",4,1,33,14,2.35714,"PushEvent",33,14,2.35714,0.1
"327","jeokrohn/cisco_spark",5,1,10,3,3.33333,"PushEvent",10,3,3.33333,0.3
"328","PrestaShop/ps_socialfollow",3,2,46,7,6.57143,"CreateEvent",46,7,6.57143,0.1
"329","cybrairai/sanghefte",2,1,13,3,4.33333,"CreateEvent",13,3,4.33333,0.3
"330","squidproxy/onesafe",6,1,33,14,2.35714,"CreateEvent",33,14,2.35714,0.1
